ID Case,ID judge,Location
73,4,Beer Sheva
74,4,Beer Sheva
79,4,Beer Sheva
83,4,Beer Sheva
87,4,Beer Sheva
90,4,Beer Sheva
95,4,Beer Sheva
100,4,Beer Sheva
107,4,Beer Sheva
108,4,Beer Sheva
113,4,Beer Sheva
117,4,Beer Sheva
121,4,Beer Sheva
124,4,Beer Sheva
129,4,Beer Sheva
134,4,Beer Sheva
141,4,Beer Sheva
142,4,Beer Sheva
147,4,Beer Sheva
151,4,Beer Sheva
155,4,Beer Sheva
158,4,Beer Sheva
163,4,Beer Sheva
168,4,Beer Sheva
175,4,Beer Sheva
176,4,Beer Sheva
181,4,Beer Sheva
185,4,Beer Sheva
189,4,Beer Sheva
192,4,Beer Sheva
197,4,Beer Sheva
202,4,Beer Sheva
209,4,Beer Sheva
210,4,Beer Sheva
215,4,Beer Sheva
219,4,Beer Sheva
223,4,Beer Sheva
226,4,Beer Sheva
231,4,Beer Sheva
236,4,Beer Sheva
243,4,Beer Sheva
244,4,Beer Sheva
249,4,Beer Sheva
253,4,Beer Sheva
257,4,Beer Sheva
260,4,Beer Sheva
265,4,Beer Sheva
270,4,Beer Sheva
277,4,Beer Sheva
278,4,Beer Sheva
283,4,Beer Sheva
287,4,Beer Sheva
291,4,Beer Sheva
294,4,Beer Sheva
299,4,Beer Sheva
304,4,Beer Sheva
311,4,Beer Sheva
312,4,Beer Sheva
317,4,Beer Sheva
321,4,Beer Sheva
325,4,Beer Sheva
328,4,Beer Sheva
333,4,Beer Sheva
338,4,Beer Sheva
345,4,Beer Sheva
346,4,Beer Sheva
351,4,Beer Sheva
355,4,Beer Sheva
359,4,Beer Sheva
362,4,Beer Sheva
367,4,Beer Sheva
372,4,Beer Sheva
379,4,Beer Sheva
380,4,Beer Sheva
385,4,Beer Sheva
389,4,Beer Sheva
393,4,Beer Sheva
396,4,Beer Sheva
401,4,Beer Sheva
406,4,Beer Sheva
413,4,Beer Sheva
414,4,Beer Sheva
419,4,Beer Sheva
423,4,Beer Sheva
427,4,Beer Sheva
430,4,Beer Sheva
435,4,Beer Sheva
440,4,Beer Sheva
14,5,Jerusalem
41,5,Jerusalem
71,5,Jerusalem
104,5,Jerusalem
130,5,Jerusalem
162,5,Jerusalem
186,5,Jerusalem
218,5,Jerusalem
245,5,Jerusalem
275,5,Jerusalem
308,5,Jerusalem
334,5,Jerusalem
366,5,Jerusalem
390,5,Jerusalem
422,5,Jerusalem
16,6,Jerusalem
48,6,Jerusalem
75,6,Jerusalem
105,6,Jerusalem
138,6,Jerusalem
164,6,Jerusalem
196,6,Jerusalem
220,6,Jerusalem
252,6,Jerusalem
279,6,Jerusalem
309,6,Jerusalem
342,6,Jerusalem
368,6,Jerusalem
400,6,Jerusalem
424,6,Jerusalem
26,7,Jerusalem
50,7,Jerusalem
82,7,Jerusalem
109,7,Jerusalem
139,7,Jerusalem
172,7,Jerusalem
198,7,Jerusalem
230,7,Jerusalem
254,7,Jerusalem
286,7,Jerusalem
313,7,Jerusalem
343,7,Jerusalem
376,7,Jerusalem
402,7,Jerusalem
434,7,Jerusalem
28,8,Jerusalem
60,8,Jerusalem
84,8,Jerusalem
116,8,Jerusalem
143,8,Jerusalem
173,8,Jerusalem
206,8,Jerusalem
232,8,Jerusalem
264,8,Jerusalem
288,8,Jerusalem
320,8,Jerusalem
347,8,Jerusalem
377,8,Jerusalem
410,8,Jerusalem
436,8,Jerusalem
1,9,Tel Aviv
9,9,Tel Aviv
17,9,Tel Aviv
30,9,Tel Aviv
42,9,Tel Aviv
57,9,Tel Aviv
59,9,Tel Aviv
69,9,Tel Aviv
88,9,Tel Aviv
99,9,Tel Aviv
101,9,Tel Aviv
102,9,Tel Aviv
111,9,Tel Aviv
119,9,Tel Aviv
132,9,Tel Aviv
144,9,Tel Aviv
159,9,Tel Aviv
161,9,Tel Aviv
171,9,Tel Aviv
190,9,Tel Aviv
201,9,Tel Aviv
203,9,Tel Aviv
204,9,Tel Aviv
213,9,Tel Aviv
221,9,Tel Aviv
234,9,Tel Aviv
246,9,Tel Aviv
261,9,Tel Aviv
263,9,Tel Aviv
273,9,Tel Aviv
292,9,Tel Aviv
303,9,Tel Aviv
305,9,Tel Aviv
306,9,Tel Aviv
315,9,Tel Aviv
323,9,Tel Aviv
336,9,Tel Aviv
348,9,Tel Aviv
363,9,Tel Aviv
365,9,Tel Aviv
375,9,Tel Aviv
394,9,Tel Aviv
405,9,Tel Aviv
407,9,Tel Aviv
408,9,Tel Aviv
417,9,Tel Aviv
425,9,Tel Aviv
438,9,Tel Aviv
6,10,Tel Aviv
20,10,Tel Aviv
31,10,Tel Aviv
33,10,Tel Aviv
43,10,Tel Aviv
51,10,Tel Aviv
64,10,Tel Aviv
76,10,Tel Aviv
91,10,Tel Aviv
93,10,Tel Aviv
103,10,Tel Aviv
122,10,Tel Aviv
133,10,Tel Aviv
135,10,Tel Aviv
136,10,Tel Aviv
145,10,Tel Aviv
153,10,Tel Aviv
166,10,Tel Aviv
178,10,Tel Aviv
193,10,Tel Aviv
195,10,Tel Aviv
205,10,Tel Aviv
224,10,Tel Aviv
235,10,Tel Aviv
237,10,Tel Aviv
238,10,Tel Aviv
247,10,Tel Aviv
255,10,Tel Aviv
268,10,Tel Aviv
280,10,Tel Aviv
295,10,Tel Aviv
297,10,Tel Aviv
307,10,Tel Aviv
326,10,Tel Aviv
337,10,Tel Aviv
339,10,Tel Aviv
340,10,Tel Aviv
349,10,Tel Aviv
357,10,Tel Aviv
370,10,Tel Aviv
382,10,Tel Aviv
397,10,Tel Aviv
399,10,Tel Aviv
409,10,Tel Aviv
428,10,Tel Aviv
439,10,Tel Aviv
441,10,Tel Aviv
442,10,Tel Aviv
8,11,Tel Aviv
23,11,Tel Aviv
25,11,Tel Aviv
34,11,Tel Aviv
35,11,Tel Aviv
54,11,Tel Aviv
65,11,Tel Aviv
67,11,Tel Aviv
68,11,Tel Aviv
77,11,Tel Aviv
85,11,Tel Aviv
98,11,Tel Aviv
110,11,Tel Aviv
125,11,Tel Aviv
127,11,Tel Aviv
137,11,Tel Aviv
156,11,Tel Aviv
167,11,Tel Aviv
169,11,Tel Aviv
170,11,Tel Aviv
179,11,Tel Aviv
187,11,Tel Aviv
200,11,Tel Aviv
212,11,Tel Aviv
227,11,Tel Aviv
229,11,Tel Aviv
239,11,Tel Aviv
258,11,Tel Aviv
269,11,Tel Aviv
271,11,Tel Aviv
272,11,Tel Aviv
281,11,Tel Aviv
289,11,Tel Aviv
302,11,Tel Aviv
314,11,Tel Aviv
329,11,Tel Aviv
331,11,Tel Aviv
341,11,Tel Aviv
360,11,Tel Aviv
371,11,Tel Aviv
373,11,Tel Aviv
374,11,Tel Aviv
383,11,Tel Aviv
391,11,Tel Aviv
404,11,Tel Aviv
416,11,Tel Aviv
431,11,Tel Aviv
433,11,Tel Aviv
